iter	Passed	Remaining
0	1	1176
1	2	1072
2	3	1004
3	6	1621
4	7	1493
5	8	1376
6	10	1482
7	11	1409
8	12	1341
9	12	1272
10	13	1217
11	18	1488
12	22	1743
13	25	1766
14	27	1823
15	28	1756
16	29	1693
17	30	1675
18	31	1625
19	32	1593
20	33	1551
21	41	1851
22	43	1850
23	44	1822
24	45	1782
25	46	1737
26	47	1709
27	48	1676
28	49	1642
29	49	1611
30	52	1645
31	54	1656
32	55	1637
33	56	1610
34	57	1583
35	58	1562
36	59	1542
37	59	1518
38	60	1494
39	61	1484
40	62	1461
41	63	1441
42	63	1422
43	64	1403
44	67	1433
45	68	1426
46	70	1421
47	70	1406
48	71	1387
49	72	1370
50	72	1353
51	73	1337
52	74	1322
53	74	1307
54	75	1293
55	76	1281
56	76	1267
57	77	1253
58	77	1239
59	78	1226
60	78	1212
61	79	1200
62	79	1189
63	81	1196
64	82	1187
65	83	1181
66	84	1170
67	84	1159
68	85	1148
69	85	1138
70	86	1130
71	87	1122
72	87	1113
73	88	1104
74	88	1095
75	89	1086
76	89	1077
77	90	1070
78	91	1062
79	91	1053
80	92	1045
81	92	1037
82	92	1027
83	93	1020
84	94	1012
85	94	1005
86	97	1024
87	99	1026
88	99	1019
89	100	1012
90	100	1005
91	101	1000
92	101	994
93	102	988
94	103	983
95	103	978
96	104	972
97	104	966
98	105	960
99	106	955
100	106	949
101	107	944
102	107	938
103	108	933
104	108	927
105	109	922
106	109	917
107	112	925
108	113	924
109	114	923
110	114	918
111	115	913
112	115	908
113	116	904
114	117	901
115	117	897
116	118	892
117	118	888
118	119	883
119	119	879
120	120	875
121	121	870
122	121	866
123	122	862
124	122	858
125	123	854
126	123	849
127	124	846
128	124	842
129	125	840
130	126	840
131	127	838
132	128	838
133	129	834
134	129	831
135	130	827
136	130	823
137	131	820
138	131	817
139	132	814
140	133	811
141	133	807
142	134	804
143	134	800
144	135	797
145	135	794
146	136	790
147	136	787
148	137	784
149	137	781
150	138	778
151	138	775
152	139	772
153	140	769
154	140	767
155	141	765
156	142	764
157	143	763
158	144	762
159	144	760
160	145	757
161	145	754
162	146	751
163	147	749
164	147	746
165	148	744
166	148	741
167	149	739
168	149	736
169	150	734
170	150	731
171	151	729
172	151	726
173	152	723
174	153	721
175	153	719
176	154	717
177	154	714
178	155	712
179	156	712
180	157	713
181	158	713
182	159	711
183	159	708
184	160	706
185	161	704
186	161	702
187	162	700
188	162	697
189	163	695
190	163	693
191	164	691
192	164	689
193	165	686
194	165	684
195	166	682
196	166	680
197	167	678
198	167	676
199	168	674
200	169	672
201	169	670
202	170	668
203	172	671
204	173	671
205	173	669
206	174	667
207	174	665
208	175	663
209	175	661
210	176	659
211	176	657
212	177	655
213	178	653
214	178	652
215	179	650
216	179	648
217	180	646
218	180	644
219	181	642
220	181	640
221	182	638
222	182	636
223	183	635
224	183	633
225	184	631
226	184	629
227	187	633
228	188	634
229	189	632
230	189	631
231	190	629
232	190	627
233	191	626
234	191	624
235	192	622
236	192	621
237	193	619
238	193	617
239	194	615
240	195	614
241	195	612
242	196	610
243	196	609
244	197	607
245	197	605
246	198	604
247	198	602
248	199	600
249	199	599
250	200	597
251	200	596
252	201	596
253	202	595
254	203	594
255	203	592
256	204	591
257	204	589
258	205	588
259	206	586
260	206	585
261	207	583
262	207	582
263	208	580
264	208	579
265	209	577
266	209	576
267	210	574
268	210	573
269	211	571
270	212	570
271	212	568
272	213	567
273	213	565
274	214	564
275	214	563
276	215	561
277	216	561
278	217	560
279	217	559
280	218	558
281	218	557
282	219	555
283	219	554
284	220	553
285	221	551
286	221	550
287	222	549
288	222	547
289	223	546
290	223	545
291	224	543
292	224	542
293	225	541
294	225	539
295	226	538
296	226	537
297	227	535
298	227	534
299	228	533
300	229	531
301	229	530
302	230	529
303	230	527
304	231	527
305	232	527
306	233	525
307	233	524
308	234	523
309	234	522
310	235	521
311	235	519
312	236	518
313	236	517
314	237	516
315	237	514
316	238	513
317	238	512
318	239	511
319	239	509
320	240	508
321	241	507
322	241	506
323	242	505
324	242	503
325	243	502
326	243	501
327	244	500
328	244	499
329	245	497
330	246	497
331	246	496
332	247	495
333	248	494
334	248	493
335	249	492
336	249	491
337	250	490
338	250	489
339	251	488
340	252	487
341	252	485
342	253	484
343	253	483
344	254	482
345	254	481
346	255	480
347	255	479
348	256	477
349	256	476
350	257	475
351	257	474
352	258	473
353	259	472
354	259	472
355	260	471
356	261	470
357	261	469
358	262	468
359	262	467
360	263	466
361	263	465
362	264	464
363	265	463
364	265	462
365	266	461
366	266	459
367	267	458
368	267	457
369	268	456
370	268	455
371	269	454
372	269	453
373	270	452
374	270	451
375	271	450
376	271	449
377	272	448
378	273	447
379	273	446
380	274	445
381	274	444
382	275	444
383	276	443
384	277	442
385	277	441
386	278	440
387	278	439
388	279	438
389	279	437
390	280	436
391	280	435
392	281	434
393	281	433
394	282	432
395	282	431
396	283	430
397	283	429
398	284	428
399	285	427
400	285	426
401	286	425
402	286	424
403	287	423
404	287	422
405	288	421
406	288	420
407	289	419
408	289	418
409	290	418
410	291	417
411	292	416
412	292	415
413	293	414
414	293	413
415	294	412
416	294	412
417	295	411
418	295	410
419	296	409
420	297	408
421	297	408
422	298	407
423	299	406
424	299	405
425	300	404
426	300	403
427	301	402
428	301	401
429	302	400
430	302	399
431	303	399
432	304	398
433	304	397
434	305	396
435	306	396
436	307	396
437	308	395
438	309	395
439	309	394
440	310	393
441	311	392
442	311	391
443	312	390
444	312	389
445	313	389
446	313	388
447	314	387
448	314	386
449	315	385
450	315	384
451	316	383
452	317	382
453	317	382
454	318	381
455	318	380
456	319	379
457	320	378
458	320	378
459	321	377
460	322	376
461	322	376
462	323	375
463	324	374
464	324	373
465	325	372
466	325	371
467	326	371
468	327	370
469	327	369
470	328	368
471	328	367
472	329	366
473	329	365
474	330	364
475	330	364
476	331	363
477	331	362
478	332	361
479	333	360
480	333	359
481	334	359
482	334	358
483	335	357
484	336	356
485	336	356
486	337	355
487	338	354
488	338	354
489	339	353
490	339	352
491	340	351
492	340	350
493	341	349
494	342	348
495	342	348
496	343	347
497	343	346
498	344	345
499	344	344
500	345	343
501	345	343
502	346	342
503	346	341
504	347	340
505	347	339
506	348	338
507	348	337
508	349	337
509	350	336
510	350	335
511	352	335
512	353	335
513	353	334
514	354	333
515	354	332
516	355	332
517	355	331
518	356	330
519	357	329
520	357	328
521	358	327
522	358	327
523	359	326
524	359	325
525	360	324
526	360	323
527	361	322
528	361	322
529	362	321
530	362	320
531	363	319
532	363	318
533	364	317
534	364	317
535	365	316
536	366	316
537	368	316
538	368	315
539	369	314
540	370	314
541	371	313
542	371	313
543	372	312
544	373	311
545	373	310
546	374	310
547	375	309
548	375	308
549	376	307
550	376	307
551	377	306
552	378	305
553	378	304
554	379	304
555	379	303
556	380	302
557	381	302
558	382	302
559	383	301
560	384	300
561	384	299
562	385	299
563	386	298
564	386	297
565	387	296
566	387	296
567	388	295
568	388	294
569	389	293
570	389	292
571	390	292
572	390	291
573	391	290
574	391	289
575	392	288
576	392	288
577	393	287
578	394	286
579	394	285
580	395	285
581	396	284
582	397	284
583	397	283
584	398	282
585	398	281
586	399	281
587	400	280
588	400	279
589	401	278
590	401	277
591	402	277
592	402	276
593	403	275
594	403	274
595	404	274
596	404	273
597	405	272
598	405	271
599	406	270
600	407	270
601	407	269
602	408	268
603	408	267
604	409	267
605	409	266
606	410	265
607	411	265
608	412	264
609	412	263
610	413	263
611	413	262
612	414	261
613	414	260
614	415	260
615	415	259
616	416	258
617	416	257
618	417	256
619	417	256
620	418	255
621	419	254
622	419	253
623	420	253
624	420	252
625	421	251
626	421	250
627	422	250
628	422	249
629	423	248
630	423	247
631	424	247
632	424	246
633	425	245
634	426	245
635	427	244
636	427	243
637	428	242
638	428	242
639	429	241
640	429	240
641	430	239
642	430	239
643	431	238
644	431	237
645	432	236
646	432	236
647	433	235
648	434	234
649	434	234
650	435	233
651	436	232
652	436	232
653	437	231
654	437	230
655	438	229
656	438	229
657	439	228
658	439	227
659	440	227
660	441	226
661	442	226
662	443	225
663	443	224
664	444	223
665	444	223
666	445	222
667	445	221
668	446	220
669	447	220
670	447	219
671	448	218
672	448	218
673	449	217
674	449	216
675	450	215
676	450	215
677	451	214
678	452	213
679	452	213
680	453	212
681	453	211
682	454	210
683	455	210
684	455	209
685	456	209
686	457	208
687	458	207
688	458	207
689	459	206
690	459	205
691	460	204
692	460	204
693	461	203
694	462	202
695	462	202
696	463	201
697	463	200
698	464	199
699	465	199
700	465	198
701	466	197
702	466	197
703	467	196
704	467	195
705	468	195
706	468	194
707	469	193
708	469	192
709	470	192
710	471	191
711	472	191
712	473	190
713	473	189
714	474	189
715	474	188
716	475	187
717	475	186
718	476	186
719	477	185
720	477	184
721	478	184
722	478	183
723	479	182
724	480	182
725	480	181
726	481	180
727	481	179
728	482	179
729	482	178
730	483	177
731	483	177
732	484	176
733	484	175
734	485	175
735	486	174
736	487	173
737	487	173
738	488	172
739	489	171
740	489	171
741	490	170
742	490	169
743	491	169
744	491	168
745	492	167
746	493	167
747	493	166
748	494	165
749	495	165
750	495	164
751	496	163
752	496	162
753	497	162
754	497	161
755	498	160
756	498	160
757	499	159
758	499	158
759	500	158
760	501	157
761	501	156
762	502	156
763	503	155
764	503	154
765	504	154
766	504	153
767	505	152
768	506	152
769	506	151
770	507	150
771	507	149
772	508	149
773	508	148
774	509	147
775	510	147
776	510	146
777	511	145
778	511	145
779	512	144
780	512	143
781	513	143
782	513	142
783	514	141
784	514	140
785	515	140
786	516	139
787	517	139
788	518	138
789	518	137
790	519	137
791	520	136
792	520	135
793	521	135
794	522	134
795	522	133
796	523	133
797	523	132
798	524	131
799	525	131
800	525	130
801	526	129
802	526	129
803	527	128
804	527	127
805	528	127
806	528	126
807	529	125
808	529	125
809	530	124
810	531	123
811	532	123
812	532	122
813	533	121
814	534	121
815	534	120
816	535	119
817	536	119
818	536	118
819	537	117
820	538	117
821	538	116
822	539	115
823	539	115
824	540	114
825	540	113
826	541	113
827	541	112
828	542	111
829	542	111
830	543	110
831	544	109
832	544	109
833	545	108
834	546	107
835	547	107
836	548	106
837	548	106
838	549	105
839	549	104
840	550	104
841	550	103
842	551	102
843	552	102
844	552	101
845	553	100
846	553	100
847	554	99
848	554	98
849	555	97
850	555	97
851	556	96
852	556	95
853	557	95
854	557	94
855	558	93
856	559	93
857	559	92
858	560	91
859	560	91
860	561	90
861	562	90
862	563	89
863	563	88
864	564	88
865	564	87
866	565	86
867	565	86
868	566	85
869	566	84
870	567	84
871	567	83
872	568	82
873	569	82
874	569	81
875	570	80
876	570	80
877	571	79
878	571	78
879	572	78
880	572	77
881	573	76
882	573	76
883	574	75
884	574	74
885	575	74
886	576	73
887	577	72
888	578	72
889	578	71
890	579	70
891	579	70
892	580	69
893	581	68
894	581	68
895	582	67
896	582	66
897	583	66
898	583	65
899	584	64
900	584	64
901	585	63
902	585	62
903	586	62
904	586	61
905	587	60
906	588	60
907	588	59
908	589	58
909	589	58
910	590	57
911	590	57
912	591	56
913	592	55
914	593	55
915	594	54
916	594	53
917	595	53
918	595	52
919	596	51
920	596	51
921	597	50
922	598	49
923	598	49
924	599	48
925	599	47
926	600	47
927	600	46
928	601	45
929	601	45
930	602	44
931	602	43
932	603	43
933	603	42
934	604	42
935	605	41
936	605	40
937	606	40
938	607	39
939	608	38
940	608	38
941	609	37
942	610	36
943	610	36
944	611	35
945	611	34
946	612	34
947	612	33
948	613	32
949	614	32
950	614	31
951	615	31
952	615	30
953	616	29
954	616	29
955	617	28
956	617	27
957	618	27
958	619	26
959	619	25
960	620	25
961	620	24
962	621	23
963	622	23
964	623	22
965	623	21
966	624	21
967	624	20
968	625	20
969	626	19
970	626	18
971	627	18
972	627	17
973	628	16
974	628	16
975	629	15
976	629	14
977	630	14
978	631	13
979	631	12
980	632	12
981	632	11
982	633	10
983	633	10
984	634	9
985	635	9
986	635	8
987	636	7
988	638	7
989	639	6
990	639	5
991	640	5
992	640	4
993	641	3
994	642	3
995	642	2
996	643	1
997	643	1
998	644	0
999	644	0
