iter	Passed	Remaining
0	1	132
1	2	136
2	4	141
3	5	132
4	6	127
5	7	120
6	8	115
7	9	112
8	10	109
9	11	106
10	12	104
11	13	101
12	14	99
13	16	98
14	17	96
15	18	95
16	19	94
17	20	92
18	21	90
19	22	88
20	23	86
21	23	85
22	24	83
23	25	81
24	26	79
25	27	77
26	28	76
27	28	74
28	29	73
29	30	71
30	31	70
31	32	69
32	33	67
33	34	66
34	34	64
35	35	63
36	36	62
37	37	60
38	38	59
39	38	58
40	39	57
41	39	55
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	46	45
51	47	43
52	49	43
53	50	42
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
